EnterpriseCount,NaceCodeGroup,JuridicalForm,Code,Description
5,89,,,
1,89,14.0,014,Société anonyme
20,89,610.0,610,Société à responsabilité limitée
14,89,14.0,014,Société anonyme
6,89,,,
2,89,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,89,706.0,706,Société coopérative
1,89,612.0,612,Société en commandite
1,89,30.0,030,Entité étrangère
1,89,17.0,017,Association sans but lucratif
1,89,3.0,003,Unité TVA
23,91,610.0,610,Société à responsabilité limitée
15,91,,,
12,91,14.0,014,Société anonyme
4,91,15.0,015,Société privée à responsabilité limitée
3,91,30.0,030,Entité étrangère
3,91,12.0,012,Société en commandite simple
2,91,612.0,612,Société en commandite
1,91,721.0,721,Société ou association sans personnalité juridique
1,91,125.0,125,Association internationale sans but lucratif
22,99,610.0,610,Société à responsabilité limitée
19,99,14.0,014,Société anonyme
8,99,,,
2,99,721.0,721,Société ou association sans personnalité juridique
2,99,30.0,030,Entité étrangère
2,99,15.0,015,Société privée à responsabilité limitée
1,99,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,99,17.0,017,Association sans but lucratif
1,99,11.0,011,Société en nom collectif
492,10,610.0,610,Société à responsabilité limitée
334,10,,,
136,10,14.0,014,Société anonyme
70,10,15.0,015,Société privée à responsabilité limitée
29,10,612.0,612,Société en commandite
17,10,11.0,011,Société en nom collectif
15,10,3.0,003,Unité TVA
11,10,706.0,706,Société coopérative
11,10,12.0,012,Société en commandite simple
9,10,721.0,721,Société ou association sans personnalité juridique
9,10,30.0,030,Entité étrangère
8,10,411.0,411,Ville / commune
2,10,17.0,017,Association sans but lucratif
1,10,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,10,108.0,108,Société coopérative à responsabilité limitée de droit public
6,10,610.0,610,Société à responsabilité limitée
3,10,,,
1,10,14.0,014,Société anonyme
4,10,610.0,610,Société à responsabilité limitée
1,10,612.0,612,Société en commandite
1,10,14.0,014,Société anonyme
3,10,610.0,610,Société à responsabilité limitée
1,10,,,
198,10,610.0,610,Société à responsabilité limitée
101,10,,,
61,10,14.0,014,Société anonyme
23,10,15.0,015,Société privée à responsabilité limitée
13,10,612.0,612,Société en commandite
9,10,721.0,721,Société ou association sans personnalité juridique
7,10,11.0,011,Société en nom collectif
6,10,12.0,012,Société en commandite simple
4,10,3.0,003,Unité TVA
3,10,706.0,706,Société coopérative
1,10,16.0,016,Société coopérative (ancien statut)
390,10,610.0,610,Société à responsabilité limitée
185,10,14.0,014,Société anonyme
178,10,,,
43,10,15.0,015,Société privée à responsabilité limitée
24,10,612.0,612,Société en commandite
18,10,11.0,011,Société en nom collectif
17,10,3.0,003,Unité TVA
13,10,721.0,721,Société ou association sans personnalité juridique
5,10,706.0,706,Société coopérative
2,10,12.0,012,Société en commandite simple
2,10,6.0,006,Société coopérative à responsabilité illimitée
120,10,610.0,610,Société à responsabilité limitée
53,10,,,
49,10,14.0,014,Société anonyme
13,10,15.0,015,Société privée à responsabilité limitée
9,10,612.0,612,Société en commandite
6,10,11.0,011,Société en nom collectif
3,10,3.0,003,Unité TVA
1,10,721.0,721,Société ou association sans personnalité juridique
87,10,610.0,610,Société à responsabilité limitée
28,10,,,
26,10,14.0,014,Société anonyme
9,10,706.0,706,Société coopérative
9,10,15.0,015,Société privée à responsabilité limitée
7,10,612.0,612,Société en commandite
4,10,3.0,003,Unité TVA
2,10,721.0,721,Société ou association sans personnalité juridique
2,10,30.0,030,Entité étrangère
