NaceCodeGroup,NaceDescription_FR,JuridicalForm,JuridicalForm_FR,EnterpriseCount
74,"Autres activités spécialisées, scientifiques et techniques",14.0,,821
49,Transports terrestres et transports par conduites,612.0,,817
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",11.0,,807
10,Industries alimentaires,15.0,,799
74,"Autres activités spécialisées, scientifiques et techniques",12.0,,795
52,Entreposage et services auxiliaires des transports,15.0,,779
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,11.0,,775
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles",11.0,,771
68,Activités immobilières,12.0,,764
77,Activités de location et location-bail,11.0,,763
66,Activités auxiliaires d’activités de services financiers et d’assurance,612.0,,752
33,"Réparation, entretien et installation de machines et d’équipements",14.0,,746
69,Activités juridiques et comptables,14.0,,744
80,Activités d’investigation et de sécurité,,,729
85,Enseignement,12.0,,729
20,Industrie chimique,610.0,,723
42,Génie civil,15.0,,722
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",14.0,,718
66,Activités auxiliaires d’activités de services financiers et d’assurance,15.0,,705
58,Activités d’édition,17.0,,697
33,"Réparation, entretien et installation de machines et d’équipements",15.0,,686
23,Fabrication d’autres produits minéraux non métalliques,14.0,,678
22,Fabrication de produits en caoutchouc et en plastique,14.0,,669
64,"Activités de services financiers, hors assurance et fonds de pension",3.0,,662
41,Construction de bâtiments résidentiels et non résidentiels,11.0,,650
24,Métallurgie,610.0,,647
91,"Bibliothèques, archives, musées et autres activités culturelles",17.0,,641
59,"Production de films cinématographiques, de vidéos et de programmes de télévision; enregistrement sonore et édition musicale",15.0,,640
14,Industrie de l’habillement,14.0,,622
74,"Autres activités spécialisées, scientifiques et techniques",17.0,,622
56,Activités de service de restauration,721.0,,611
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",15.0,,607
60,"Activités de programmation, de diffusion, d’agence de presse et autres activités de distribution de contenu",610.0,,607
96,Activités de services aux personnes,14.0,,603
55,Hébergement,15.0,,601
50,Transport par eau,610.0,,599
53,Activités de poste et de courrier,15.0,,599
56,Activités de service de restauration,12.0,,597
29,Industrie automobile,610.0,,595
29,Industrie automobile,,,593
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,12.0,,588
26,"Fabrication de produits informatiques, électroniques et optiques",,,575
69,Activités juridiques et comptables,3.0,,572
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",12.0,,570
84,Administration publique et défense; sécurité sociale obligatoire,411.0,,565
84,Administration publique et défense; sécurité sociale obligatoire,412.0,,564
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",14.0,,563
14,Industrie de l’habillement,15.0,,562
81,Activités de services pour les bâtiments et l’aménagement paysager,12.0,,561
78,Activités liées à l’emploi,612.0,,559
20,Industrie chimique,14.0,,554
77,Activités de location et location-bail,17.0,,554
69,Activités juridiques et comptables,12.0,,553
92,Activités de jeux d’argent et de paris,,,550
18,Imprimerie et reproduction d’enregistrements,15.0,,548
25,"Fabrication de produits métalliques, à l’exception des machines et des équipements",612.0,,532
58,Activités d’édition,15.0,,532
58,Activités d’édition,14.0,,524
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",721.0,,521
85,Enseignement,14.0,,521
91,"Bibliothèques, archives, musées et autres activités culturelles",,,511
13,Fabrication de textiles,14.0,,505
86,Activités pour la santé humaine,12.0,,504
96,Activités de services aux personnes,12.0,,497
51,Transports aériens,610.0,,492
49,Transports terrestres et transports par conduites,11.0,,490
69,Activités juridiques et comptables,11.0,,487
11,Fabrication de boissons,14.0,,486
38,"Collecte, valorisation et élimination des déchets;",14.0,,485
41,Construction de bâtiments résidentiels et non résidentiels,30.0,,482
90,Activités de création artistique et de spectacle,12.0,,462
31,Fabrication de meubles,14.0,,459
18,Imprimerie et reproduction d’enregistrements,14.0,,457
18,Imprimerie et reproduction d’enregistrements,612.0,,453
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",11.0,,452
72,Recherche et développement scientifique,14.0,,452
94,Activités des organisations associatives,30.0,,450
62,"Programmation, conseil et autres activités informatiques",30.0,,449
46,Commerce de gros,235.0,,447
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",30.0,,447
32,Autres industries manufacturières,14.0,,434
56,Activités de service de restauration,3.0,,430
90,Activités de création artistique et de spectacle,14.0,,429
78,Activités liées à l’emploi,14.0,,422
79,"Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes",17.0,,421
87,Activités de soins en établissement résidentiel,610.0,,418
52,Entreposage et services auxiliaires des transports,612.0,,417
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",3.0,,414
26,"Fabrication de produits informatiques, électroniques et optiques",14.0,,413
70,Activités des sièges sociaux et conseil de gestion,30.0,,408
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",721.0,,406
17,Industrie du papier et du carton,,,401
59,"Production de films cinématographiques, de vidéos et de programmes de télévision; enregistrement sonore et édition musicale",11.0,,383
39,Activités de dépollution et autres activités de service de gestion des déchets,610.0,,376
46,Commerce de gros,17.0,,373
58,Activités d’édition,612.0,,372
93,Activités sportives et activités récréatives et de loisirs,721.0,,369
27,Fabrication d’équipements électriques,14.0,,365
72,Recherche et développement scientifique,17.0,,361
93,Activités sportives et activités récréatives et de loisirs,12.0,,359
59,"Production de films cinématographiques, de vidéos et de programmes de télévision; enregistrement sonore et édition musicale",14.0,,354
30,Fabrication d’autres matériels de transport,610.0,,353
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,30.0,,350
14,Industrie de l’habillement,11.0,,345
31,Fabrication de meubles,15.0,,345
32,Autres industries manufacturières,15.0,,345
11,Fabrication de boissons,15.0,,339
46,Commerce de gros,721.0,,335
42,Génie civil,612.0,,332
84,Administration publique et défense; sécurité sociale obligatoire,,,332
94,Activités des organisations associatives,610.0,,332
49,Transports terrestres et transports par conduites,12.0,,326
55,Hébergement,17.0,,323
25,"Fabrication de produits métalliques, à l’exception des machines et des équipements",3.0,,322
21,Industrie pharmaceutique,14.0,,318
24,Métallurgie,14.0,,318
51,Transports aériens,,,318
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles",3.0,,318
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",17.0,,317
11,Fabrication de boissons,11.0,,316
